127.0.0.1 - - [06/Oct/2023:09:13:11 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Oct/2023:09:13:11 +0900] "GET /oMVCBoard/WEB-INF/classes/com/oracle/oMVCBoard/controller/BController.java HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Oct/2023:09:13:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/Oct/2023:09:13:22 +0900] "GET /oMVCBoard/list HTTP/1.1" 200 2982
0:0:0:0:0:0:0:1 - - [06/Oct/2023:09:13:22 +0900] "GET /oMVCBoard/resources/css/board.css HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [06/Oct/2023:09:13:58 +0900] "GET /oMVCBoard/content_view?bId=45 HTTP/1.1" 200 1035
0:0:0:0:0:0:0:1 - - [06/Oct/2023:09:36:18 +0900] "GET /oMVCBoard/write_view HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [06/Oct/2023:09:36:25 +0900] "POST /oMVCBoard/write HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Oct/2023:09:36:25 +0900] "GET /oMVCBoard/list HTTP/1.1" 200 3163
0:0:0:0:0:0:0:1 - - [06/Oct/2023:09:44:34 +0900] "GET /oMVCBoard/content_view?bId=48 HTTP/1.1" 200 1073
0:0:0:0:0:0:0:1 - - [06/Oct/2023:10:08:19 +0900] "GET /oMVCBoard/delete?bId=48 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Oct/2023:10:08:20 +0900] "GET /oMVCBoard/list HTTP/1.1" 200 3163
0:0:0:0:0:0:0:1 - - [06/Oct/2023:10:08:26 +0900] "GET /oMVCBoard/content_view?bId=48 HTTP/1.1" 200 1073
0:0:0:0:0:0:0:1 - - [06/Oct/2023:10:09:12 +0900] "GET /oMVCBoard/list HTTP/1.1" 200 3163
0:0:0:0:0:0:0:1 - - [06/Oct/2023:10:09:17 +0900] "GET /oMVCBoard/list HTTP/1.1" 200 3163
0:0:0:0:0:0:0:1 - - [06/Oct/2023:10:09:18 +0900] "GET /oMVCBoard/content_view?bId=48 HTTP/1.1" 200 1073
0:0:0:0:0:0:0:1 - - [06/Oct/2023:10:09:19 +0900] "GET /oMVCBoard/delete?bId=48 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Oct/2023:10:09:19 +0900] "GET /oMVCBoard/list HTTP/1.1" 200 2983
0:0:0:0:0:0:0:1 - - [06/Oct/2023:10:12:20 +0900] "GET /oMVCBoard/write_view HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [06/Oct/2023:10:12:29 +0900] "POST /oMVCBoard/write HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Oct/2023:10:12:29 +0900] "GET /oMVCBoard/list HTTP/1.1" 200 3161
0:0:0:0:0:0:0:1 - - [06/Oct/2023:10:12:31 +0900] "GET /oMVCBoard/content_view?bId=49 HTTP/1.1" 200 1070
0:0:0:0:0:0:0:1 - - [06/Oct/2023:10:12:33 +0900] "GET /oMVCBoard/reply_view?bId=49 HTTP/1.1" 200 1115
0:0:0:0:0:0:0:1 - - [06/Oct/2023:10:12:37 +0900] "POST /oMVCBoard/reply HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Oct/2023:10:12:37 +0900] "GET /oMVCBoard/list HTTP/1.1" 200 3351
0:0:0:0:0:0:0:1 - - [06/Oct/2023:10:12:43 +0900] "GET /oMVCBoard/content_view?bId=49 HTTP/1.1" 200 1070
0:0:0:0:0:0:0:1 - - [06/Oct/2023:10:12:44 +0900] "GET /oMVCBoard/delete?bId=49 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Oct/2023:10:12:44 +0900] "GET /oMVCBoard/list HTTP/1.1" 200 3173
0:0:0:0:0:0:0:1 - - [06/Oct/2023:10:19:18 +0900] "GET /oMVCBoard/content_view?bId=47 HTTP/1.1" 200 1096
0:0:0:0:0:0:0:1 - - [06/Oct/2023:10:19:20 +0900] "GET /oMVCBoard/reply_view?bId=47 HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [06/Oct/2023:10:19:34 +0900] "POST /oMVCBoard/reply HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Oct/2023:10:19:34 +0900] "GET /oMVCBoard/list HTTP/1.1" 200 3361
0:0:0:0:0:0:0:1 - - [06/Oct/2023:10:19:53 +0900] "GET /oMVCBoard/content_view?bId=51 HTTP/1.1" 200 1083
0:0:0:0:0:0:0:1 - - [06/Oct/2023:10:20:18 +0900] "GET /oMVCBoard/content_view?bId=51 HTTP/1.1" 200 1083
0:0:0:0:0:0:0:1 - - [06/Oct/2023:10:20:26 +0900] "GET /oMVCBoard/list HTTP/1.1" 200 3361
0:0:0:0:0:0:0:1 - - [06/Oct/2023:10:20:28 +0900] "GET /oMVCBoard/content_view?bId=51 HTTP/1.1" 200 1083
0:0:0:0:0:0:0:1 - - [06/Oct/2023:10:20:32 +0900] "GET /oMVCBoard/list HTTP/1.1" 200 3361
